AF:C910	BC:110	DE:C039	HL:403A	SP:FFFE
Executing 1c at PC 208
AF:C910	BC:110	DE:C03A	HL:403A	SP:FFFE
Executing 20 at PC 209
AF:C910	BC:110	DE:C03A	HL:403A	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C03A	HL:403B	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C03A	HL:403B	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C03B	HL:403B	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C03B	HL:403B	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C03B	HL:403C	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C03B	HL:403C	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C03C	HL:403C	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C03C	HL:403C	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C03C	HL:403D	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C03C	HL:403D	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C03D	HL:403D	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C03D	HL:403D	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C03D	HL:403E	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C03D	HL:403E	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C03E	HL:403E	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C03E	HL:403E	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C03E	HL:403F	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C03E	HL:403F	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C03F	HL:403F	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C03F	HL:403F	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C03F	HL:4040	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C03F	HL:4040	SP:FFFE
Executing 1c at PC 208
AF:30	BC:110	DE:C040	HL:4040	SP:FFFE
Executing 20 at PC 209
AF:30	BC:110	DE:C040	HL:4040	SP:FFFE
Executing 2a at PC 206
AF:30	BC:110	DE:C040	HL:4041	SP:FFFE
Executing 12 at PC 207
AF:30	BC:110	DE:C040	HL:4041	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C041	HL:4041	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C041	HL:4041	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C041	HL:4042	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C041	HL:4042	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C042	HL:4042	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C042	HL:4042	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C042	HL:4043	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C042	HL:4043	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C043	HL:4043	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C043	HL:4043	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C043	HL:4044	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C043	HL:4044	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C044	HL:4044	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C044	HL:4044	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C044	HL:4045	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C044	HL:4045	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C045	HL:4045	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C045	HL:4045	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C045	HL:4046	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C045	HL:4046	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C046	HL:4046	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C046	HL:4046	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C046	HL:4047	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C046	HL:4047	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C047	HL:4047	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C047	HL:4047	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C047	HL:4048	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C047	HL:4048	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C048	HL:4048	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C048	HL:4048	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C048	HL:4049	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C048	HL:4049	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C049	HL:4049	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C049	HL:4049	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C049	HL:404A	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C049	HL:404A	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C04A	HL:404A	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C04A	HL:404A	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C04A	HL:404B	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C04A	HL:404B	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C04B	HL:404B	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C04B	HL:404B	SP:FFFE
Executing 2a at PC 206
AF:10	BC:110	DE:C04B	HL:404C	SP:FFFE
Executing 12 at PC 207
AF:10	BC:110	DE:C04B	HL:404C	SP:FFFE
Executing 1c at PC 208
AF:10	BC:110	DE:C04C	HL:404C	SP:FFFE
Executing 20 at PC 209
AF:10	BC:110	DE:C04C	HL:404C	SP:FFFE
Executing 2a at PC 206
AF:C910	BC:110	DE:C04C	HL:404D	SP:FFFE
Executing 12 at PC 207
AF:C910	BC:110	DE:C04C	HL:404D	SP:FFFE
Executing 1c at PC 208
AF:C910	BC:110	DE:C04D	HL:404D	SP:FFFE
Executing 20 at PC 209
AF:C910	BC:110	DE:C04D	HL:404D	SP:FFFE
Executing 2a at PC 206
AF:1810	BC:110	DE:C04D	HL:404E	SP:FFFE
